Name,Jname,Glitch #,Time of glitch (MJD),Error in time (days),dF/F (10^-9),Error in dF/F (10^-9),dF1/F1 (10^-3),Error in dF1/F1 (10^-3),Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs),dF0 (Hz)
J0537-6910,J0537-6910,40,55519.0,2,122.0,1,0.4,0.3,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,7567.1951312
J0537-6910,J0537-6910,41,55552.0,2,8.0,2,-2,2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,496.2095168
J0537-6910,J0537-6910,42,55587.0,2,87.0,2,1,4,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,5396.2784952
J0537-6910,J0537-6910,43,55615.0,4,453.0,2,0.2,0.5,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,28097.863888800002
J0537-6910,J0537-6910,44,55786.1,0.1,14.0,1,-0.2,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,868.3666544
J0537-6910,J0537-6910,45,55819.0,2,346.0,1,0.9,0.4,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,21461.061601600002
J0537-6910,J0537-6910,46,58083.0,25,260.51,0.03,0.75,0.15,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,16158.442652696
J0537-6910,J0537-6910,47,58152.0,11,581.94,0.1,0.8,0.15,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,36095.52077582401
J0537-6910,J0537-6910,48,58363.0,14,126.5,0.8,1.2,0.2,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,7846.3129844000005
J0537-6910,J0537-6910,49,58424.0,2,409.0,5,1,0.5,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,25368.7115464
J0537-6910,J0537-6910,50,58566.0,5,148.7,0.3,0.45,0.03,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,9223.29439352
J0537-6910,J0537-6910,51,58637.0,8,435.92,0.16,0.43,0.02,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,27038.456570432
J0537-6910,J0537-6910,52,58807.0,3,122.3,0.5,1.1,0.15,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,7585.80298808
J0537-6910,J0537-6910,53,58868.0,3,388.0,1,1.2,0.23,279.559,-31.745,84.4476,-69.17219,0.016122222,5.18E-14,62.0261896,-1.99E-10,6.10E-21,49.7,4.93E+03,24066.1615648
B0540-69,J0540-6919,1,51335.0,12,1.4,0.2,0.133,0.002,279.717,-31.516,85.04666999999999,-69.331714,0.050569703,4.79E-13,19.77468603,-1.87E-10,3.77E-21,49.7,1.67E+03,27.684560442000002
B0559-05,J0601-0527,1,51665.2,0.1,0.2,0.1,-0.7,0.1,212.199,-13.481,90.49573000000001,-5.4641307999999995,0.39596917,1.30E-15,2.525449143,-8.30E-15,2.42E-26,2.083,4.82E+06,0.5050898286
B0559-05,J0601-0527,2,54347.0,13,0.05,0.01,0.2,0.2,212.199,-13.481,90.49573000000001,-5.4641307999999995,0.39596917,1.30E-15,2.525449143,-8.30E-15,2.42E-26,2.083,4.82E+06,0.12627245715
J0611+1436,J0611+1436,1,55818.0,16,5575.4,0.8,X,X,195.378,-2.004,92.8277,14.6144,0.270329463,4.00E-15,3.699189834,-5.47E-14,*,0.807,1.07E+06,20624.463000483596
J0613-0200,J0613-0200,1,50888.0,30,0.0025,0.0001,0.16,0.39,210.41299999999998,-9.305,93.43323292,-2.013121504,0.003061844,9.59E-21,326.600562,-1.02E-15,*,0.78,5.06E+09,0.8165014050000001
J0631+1036,J0631+1036,1,50183.5,0.2,4.7,0.1,-0.7,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,16.330784020600003
J0631+1036,J0631+1036,2,50480.1,0.1,4.2,0.2,0.1,0.2,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,14.5934665716
J0631+1036,J0631+1036,3,50608.277,0.001,57.3,0.1,1.2,0.1,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,199.0965796554
J0631+1036,J0631+1036,4,50729.0,1,1662.7,0.1,3.5,0.2,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,5777.275444904601
J0631+1036,J0631+1036,5,51909.7,0.1,1.4,0.1,0.26,0.04,201.21900000000002,0.45,97.864683,10.617360000000001,0.287800022,1.05E-13,3.474634898,-1.26E-12,1.66E-22,2.105,4.36E+04,4.8644888572
