Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J1852+0031,33.523,0.017,283.1143,0.5339,2.180195178,9.70E-14,0.458674531,-2.04E-14,-1.70E-26,8,3.56E+05
J1852+0033,33.579,-0.044,283.1942,0.5558,11.55871346,0.00E+00,0.086514819,0,*,*,*
J1852-0033g,32.556,-0.472,283.11,-0.55,1.36903,*,0.730444,*,*,4.722,*
J1852-0039g,32.438,-0.462,283.05,-0.65,0.80291,*,1.24547,*,*,4.911,*
J1852+0040,33.667,0.038,283.16071,0.67217,0.104912611,8.68E-18,9.531742553,-7.89E-16,*,10,1.92E+08
J1852-0044g,32.395,-0.56,283.11,-0.73,0.00241,*,414.937759,*,*,4.492,*
J1852-0055g,32.224,-0.628,283.1,-0.92,0.16403,*,6.096446,*,*,4.098,*
J1852+0056g,33.853,0.249,283.06,0.93,1.17779,*,0.849048,*,*,7.218,*
J1852-0118,31.868,-0.783,283.07146,-1.3041,0.451472853,1.76E-15,2.214972604,-8.62E-15,*,4.726,4.07E+06
J1852-0127,31.706,-0.802,283.015,-1.4565,0.428978926,5.15E-15,2.331116846,-2.80E-14,*,5.692,1.32E+06
J1852+0158g,34.83,0.609,283.18,1.97,0.18573,*,5.38416,*,*,7.575,*
J1852+0305,35.804,1.16,283.136,3.085,1.326148567,1.00E-16,0.754063327,-5.80E-17,*,6.389,2.06E+08
J1852+0309g,35.821,1.27,283.05,3.15,0.00558,*,179.21147,*,*,7.138,*
J1852-0635,27.224,-3.341,283.23937,-6.600125,0.524156765,1.46E-14,1.907826181,-5.32E-14,*,4.577,5.68E+05
J1852+0857g,41.043,3.808,283.15,8.95,3.77214,*,0.265102,*,*,3.395,*
J1852-13,21.3,-6.1,283.04583,-13.11333,0.00431,*,232.018561,*,*,*,*
J1852-2610,9.458,-11.918,283.24778,-26.1702,0.336337132,8.77E-17,2.973207255,-7.75E-16,1.62E-26,2.46,6.08E+07
J1853-0003g,33.111,-0.459,283.35,-0.05,0.17152,*,5.830224,*,*,6.313,*
J1853-0004,33.086,-0.468,283.34595,-0.07594,0.101437103,5.57E-15,9.858325731,-5.42E-13,*,5.339,2.88E+05
J1853-0008g,33.014,-0.453,283.3,-0.13,0.00282,*,354.609929,*,*,4.554,*
J1853+0009,33.303,-0.431,283.41,0.13,0.033395062,*,29.9445469,*,*,3.936,*
J1853+0011,33.338,-0.371,283.37492,0.19183,0.397889459,3.35E-14,2.51326085,-2.12E-13,*,5.815,1.88E+05
J1853+0013g,33.404,-0.445,283.47,0.22,0.92853,*,1.076971,*,*,4.735,*
J1853+0023g,33.47,-0.21,283.29,0.38,0.57686,*,1.733523,*,*,3.992,*
J1853+0029,33.58,-0.19,283.32394,0.48994,1.876757623,2.43E-15,0.532833856,-6.90E-16,*,4.198,1.22E+07
J1853+0056,34.017,-0.036,283.3861,0.9497,0.2755776,2.14E-14,3.628741964,-2.82E-13,*,3.841,2.04E+05
J1853+0237g,35.547,0.634,283.49,2.62,0.42739,*,2.339783,*,*,9.974,*
J1853+0259,35.806,0.963,283.31241,2.99664,0.585552888,1.12E-16,1.707787667,-3.27E-16,*,5.821,8.27E+07
J1853+0312g,35.987,1.056,283.31,3.2,0.43809,*,2.282636,*,*,6.648,*
J1853+0427,37.17,1.512,283.44586,4.46144,1.320658506,2.65E-15,0.757198016,-1.52E-15,*,15.662,7.91E+06
J1853+0505,37.65,1.956,283.2682,5.0906,0.905137354,1.28E-15,1.104804697,-1.56E-15,*,9.127,1.12E+07
J1853+0545,38.354,2.064,283.493379,5.76535,0.126400333,6.12E-16,7.911371547,-3.83E-14,-1.90E-25,6.519,3.27E+06
J1853-0649,27.077,-3.545,283.35593,-6.8239,1.048132105,1.55E-15,0.954078207,-1.41E-15,*,1.285,1.07E+07
J1853-0842A,25.352,-4.318,283.2669754,-8.7078483,0.002149433,-2.39E-21,465.2389716,5.18E-16,*,7.38,*
J1853+0853,41.071,3.615,283.342,8.8881,3.914657916,5.13E-15,0.255450162,-3.35E-16,*,14.447,1.21E+07
J1853+1303,44.875,5.367,283.4888259,13.06223574,0.004091797,8.72E-21,244.3913777,-5.21E-16,*,2.083,7.44E+09
J1854+0012g,33.436,-0.546,283.57,0.2,0.00271,*,369.00369,*,*,4.077,*
J1854-0033g,32.791,-0.932,283.62,-0.55,0.36147,*,2.766481,*,*,8.259,*
J1854+0050,34.053,-0.349,283.68113,0.83828,0.767279534,5.78E-16,1.303305973,-9.81E-16,*,5.737,2.11E+07
J1854+0131g,34.638,-0.004,283.64,1.52,2.04385,*,0.489273,*,*,5.484,*
J1854+0306,35.992,0.834,283.51242,3.1039,4.557820096,1.45E-13,0.219403131,-6.99E-15,*,4.498,4.98E+05
J1854+0317,36.209,0.824,283.6211,3.2919,1.366449647,1.85E-15,0.731823527,-9.90E-16,*,6.893,1.17E+07
J1854+0319,36.179,0.944,283.50046,3.32022,0.628540823,5.51E-17,1.590986556,-1.40E-16,*,9.525,1.81E+08
J1854-0524,28.511,-3.235,283.73062,-5.4064,0.54402081,1.20E-15,1.838164978,-4.05E-15,*,5.014,7.18E+06
J1854+0704g,39.575,2.535,283.63,7.07,0.4509,*,2.217787,*,*,0.647,*
J1854+1050,42.887,4.223,283.6222,10.7784,0.573196989,6.39E-16,1.74460093,-1.94E-15,7.70E-26,13.835,1.42E+07
J1854-1421,20.456,-7.209,283.68455,-14.35734,1.146594847,4.16E-15,0.872147649,-3.17E-15,-1.42E-26,6.91,4.37E+06
J1854-1557,19.018,-7.95,283.7233,-15.963,3.453121181,4.52E-15,0.28959308,-3.79E-16,*,10.896,1.21E+07
J1854+36,66.026,15.068,283.5,1.30022,ar_drift21,*,ar_drift21,*,*,,
J1855+0139g,34.833,-0.092,283.81,1.65,0.44414,*,2.251542,*,*,5.21,*
J1855+0205,35.281,0.007,283.92519,2.09344,0.24681677,6.47E-17,4.051588553,-1.06E-15,*,7.042,6.05E+07
J1855+0228g,35.619,0.166,283.94,2.47,0.25317,*,3.949915,*,*,5.945,*
J1855+0235g,35.73,0.204,283.95,2.58,0.98303,*,1.017263,*,*,2.975,*
J1855+0306,36.175,0.483,283.90958,3.10631,1.633565693,7.00E-15,0.612157812,-2.62E-15,*,7.422,3.70E+06
J1855+0307,36.167,0.533,283.86096,3.1223,0.845347575,1.81E-14,1.182945371,-2.53E-14,*,5.94,7.40E+05
J1855+0327g,36.494,0.615,283.94,3.45,0.78282,*,1.277433,*,*,5.341,*
J1855+0339g,36.666,0.717,283.92,3.65,1.76134,*,0.56775,*,*,6.862,*
J1855+0422,37.314,1.052,283.9224,4.3797,1.67810633,9.30E-16,0.595909796,-3.30E-16,*,10.948,2.86E+07
J1855+0424g,37.254,1.214,283.75,4.4,2.22025,*,0.4504,*,*,17.394,*
J1855+0455g,37.742,1.394,283.81,4.92,0.10101,*,9.90001,*,*,10.249,*
J1855+0511g,37.974,1.527,283.8,5.18,1.42147,*,0.703497,*,*,9.11,*
J1855+0527,38.227,1.642,283.8128,5.4613,1.393484482,2.67E-13,0.717625502,-1.38E-13,*,11.706,8.26E+04
J1855+0626,39.125,2.055,283.85417,6.44806,0.5288321,*,1.890959,*,*,9.343,*
J1855+0700,39.613,2.337,283.82383,7.0103,0.258684648,7.52E-16,3.865710654,-1.12E-14,*,10.336,5.45E+06
J1855-0941,24.722,-5.241,283.81533,-9.6839,0.34540116,2.40E-16,2.895184255,-2.01E-15,*,6.256,2.28E+07
J1855-1436,20.359,-7.57,283.9759525,-14.602494,0.003594092,1.09E-20,278.2344182,-8.44E-16,*,5.126,5.22E+09
J1856+0011g,33.706,-1.109,284.2,0.18,0.92847,*,1.077041,*,*,6.937,*
J1856+0102,34.428,-0.648,284.11876,1.03628,0.620217115,1.22E-15,1.612338608,-3.18E-15,*,6.54,8.04E+06
J1856+0113,34.56,-0.497,284.04438,1.2226,0.26743961,2.08E-13,3.739161901,-2.91E-12,2.76E-23,3.3,2.03E+04
J1856+0211g,35.496,-0.215,284.22,2.18,9.89012,*,0.101111,*,*,3.136,*
J1856+0243g,35.871,0.221,284,2.72,0.5466,*,1.829491,*,*,3.962,*
J1856+0245,36.008,0.057,284.2121,2.763,0.080906689,6.21E-14,12.35991748,-9.49E-12,*,6.318,2.06E+04
J1856+0404,37.128,0.745,284.1108,4.0739,0.420252155,3.70E-17,2.379523788,-2.10E-16,*,6.213,1.80E+08
J1856-0526,28.636,-3.575,284.09157,-5.4491,0.370483417,1.70E-15,2.699176138,-1.24E-14,*,4.034,3.46E+06
J1856+0615g,39.088,1.692,284.16,6.25,0.32697,*,3.058385,*,*,11.569,*
J1856+0912,41.715,3.058,284.13917,9.20825,2.170701297,2.63E-15,0.460680611,-5.58E-16,*,9.622,1.31E+07
J1856-3754,358.599,-17.215,284.1475,-37.90994,7.05520287,2.98E-14,0.141739369,-5.98E-16,*,0.16,3.76E+06
J1857+0057,34.417,-0.805,284.25337,0.9547,0.356928998,5.46E-17,2.80167766,-4.28E-16,-4.10E-27,2.511,1.04E+08
J1857+0143,35.168,-0.571,284.38753,1.7297,0.139760065,3.12E-14,7.155119765,-1.60E-12,*,4.569,7.10E+04
J1857+0210,35.586,-0.393,284.42042,2.1828,0.630983058,1.40E-14,1.584828605,-3.53E-14,*,7.259,7.12E+05
J1857+0212,35.617,-0.39,284.431843,2.21142,0.415823055,4.03E-14,2.40486906,-2.33E-13,2.78E-25,8,1.64E+05
J1857+0214g,35.569,-0.248,284.28,2.23,0.33389,*,2.994998,*,*,7.793,*
J1857+0224g,35.717,-0.172,284.28,2.4,0.87595,*,1.141618,*,*,5.305,*
