Jname,Galactic Longitude (deg),Galactic Latitude (deg),RA (deg),dec (deg),P0 (s),P1,F0 (Hz),F1 (Hz/s),F2 (Hz/s^2),Distance (kpc),Age (yrs)
J1720-36,350.515,0.016,260.22,-36.88,0.09213212,*,10.853978,*,*,3.783,*
J1720-3659,350.332,0.1,260.00823,-36.98514,0.351124634,3.27E-17,2.847991579,-2.65E-16,*,3.909,1.70E+08
J1721-1936,4.857,9.738,260.25617,-19.614,1.004037457,1.62E-15,0.995978779,-1.61E-15,2.90E-25,8.01,9.80E+06
J1721-1939,4.914,9.563,260.44421,-19.6636,0.404039751,1.28E-16,2.475003999,-7.86E-16,*,5.621,4.99E+07
J1721-2457,0.387,6.751,260.2729079,-24.951714,0.003496634,5.54E-21,285.9893435,-4.53E-16,*,1.393,1.00E+10
J1721-3532,351.687,0.67,260.38658,-35.5471,0.280423859,2.52E-14,3.566030384,-3.20E-13,6.90E-25,4.6,1.76E+05
J1722-3207,354.561,2.525,260.512329,-32.12925,0.477157948,6.45E-16,2.095742101,-2.83E-15,8.90E-29,2.928,1.17E+07
J1722+35,59.218,32.651,260.52,35.3,0.8216,*,1.217137,*,*,2.196,*
J1722-3632,350.934,-0.001,260.5409,-36.54814,0.399183352,4.46E-15,2.505114493,-2.80E-14,*,3.992,1.42E+06
J1722-3712,350.49,-0.507,260.74671,-37.20125,0.236179743,1.09E-14,4.234063368,-1.95E-13,*,2.477,3.44E+05
J1722-4400,344.843,-4.319,260.69382,-44.00922,0.218554096,3.74E-16,4.575526239,-7.83E-15,*,9.068,9.26E+06
J1723-2837,357.616,4.26,260.846607,-28.63255,0.001855733,7.50E-21,538.8706835,-2.19E-15,*,0.928,3.90E+09
J1723-2852,357.482,4.015,260.9925,-28.881,0.625033913,9.00E-16,1.599913188,-2.30E-15,*,4.768,1.10E+07
J1723-3659,350.682,-0.409,260.7816,-36.9873,0.202724899,8.03E-15,4.932793179,-1.95E-13,*,3.497,4.00E+05
J1723-38,349.557,-1.149,260.8,-38.33,0.765795815,*,1.305831112,*,*,6.842,*
J1724-3149,355.142,2.228,261.187,-31.8178,0.948236974,7.25E-15,1.054588702,-8.06E-15,*,17.898,2.07E+06
J1724-35,351.829,-0.013,261.18,-35.82,1.42199,*,0.70324,*,*,4.33,*
J1724-3505,352.437,0.38,261.1995,-35.0933,1.221707692,2.11E-14,0.818526401,-1.41E-14,*,6.775,9.17E+05
J1724-4500,344.182,-5.121,261.1075,-45.0042,1.309108787,3.51E-15,0.763878457,-2.05E-15,*,7.366,5.90E+06
J1725-0732,15.866,15.324,261.30117,-7.54978,0.239919487,4.30E-16,4.168064927,-7.46E-15,*,0.203,8.85E+06
J1725-2852,357.636,3.803,261.2913,-28.873,1.257787625,1.99E-15,0.795046779,-1.26E-15,*,4.251,1.00E+07
J1725-3546,351.979,-0.153,261.4258,-35.7711,1.032471199,1.50E-14,0.968550019,-1.41E-14,*,4.784,1.09E+06
J1725-3848,349.384,-1.741,261.25,-38.81,2.062386258,2.30E-14,0.484875225,-5.41E-15,*,4.141,1.42E+06
J1725-3853,349.372,-1.856,261.3636,-38.8845,0.004791823,5.00E-20,208.6888564,-2.20E-15,*,3.142,1.52E+09
J1725-4043,347.874,-2.92,261.42258,-40.7197,1.465071375,2.79E-15,0.682560602,-1.30E-15,*,4.465,8.32E+06
J1726-00,22.638,18.71,261.6,-0.25,1.3086,*,0.764175,*,*,3.049,*
J1726-31,355.252,1.828,261.65,-31.95,0.12347018,*,8.099122,*,*,5.125,*
J1726-3530,352.252,-0.072,261.5313,-35.4994,1.110132444,1.22E-12,0.900793419,-9.87E-13,*,4.722,1.45E+04
J1726-3635,351.422,-0.802,261.70671,-36.596,0.287431567,1.44E-15,3.479088987,-1.74E-14,*,4.847,3.16E+06
J1726-4006,348.481,-2.711,261.639,-40.1006,0.882778266,3.33E-15,1.132787291,-4.27E-15,*,9.401,4.20E+06
J1726-52,338.441,-9.193,261.5,-52,0.6318,*,1.582779,*,*,6.724,*
J1727-1609,8.701,10.199,262.0125,-16.18611,0.00245,*,408.163265,*,*,*,*
J1727-2739,358.945,4.053,261.87908,-27.6481,1.293099946,1.07E-15,0.773335428,-6.40E-16,3.00E-24,3.959,1.91E+07
J1727-29,356.973,2.795,261.83,-29.98,*,*,*,*,*,2.613,*
J1727-2946,357.137,2.921,261.8128955,-29.776888,0.027083183,2.46E-19,36.92328154,-3.36E-16,*,1.881,1.74E+09
J1727-2951,357.037,2.919,261.75168,-29.8613,0.028404953,3.10E-19,35.20512724,-3.80E-16,*,5.415,1.45E+09
J1728-0007,23.029,18.287,262.14508,-0.12917,0.386003724,1.12E-15,2.590648583,-7.53E-15,-1.19E-26,1.459,5.45E+06
J1728-3733,350.842,-1.656,262.1927,-37.552,0.615538243,7.20E-17,1.624594428,-1.90E-16,*,4.557,1.35E+08
J1728-4028,348.375,-3.218,262.1153,-40.4694,0.866342509,2.30E-16,1.154277886,-3.10E-16,*,6.904,5.90E+07
J1729-2117,4.496,7.222,262.29503,-21.2911,0.066292899,1.72E-19,15.08457182,-3.91E-17,*,0.969,6.11E+09
J1730-2304,3.137,6.023,262.5902957,-23.075321,0.008122798,2.02E-20,123.1102871,-3.06E-16,*,0.62,6.38E+09
J1730-2900,358.123,2.819,262.5345,-29.013,1.538426726,8.85E-15,0.650014708,-3.74E-15,*,12.054,2.75E+06
J1730-3350,354.133,0.09,262.63566,-33.8443,0.139460211,8.48E-14,7.170503981,-4.36E-12,6.19E-23,3.488,2.60E+04
J1730-3353,354.135,-0.004,262.7316,-33.894,3.270241803,2.20E-14,0.305787786,-2.05E-15,*,3.46,2.36E+06
J1730-34,353.285,-0.36,262.53,-34.8,0.09982956,*,10.017073,*,*,4.566,*
J1731-1847,6.89,8.151,262.8233743,-18.7924072,0.00234456,2.54E-20,426.519344,-4.62E-15,*,4.782,1.46E+09
J1731-3123,356.233,1.354,262.75221,-31.3953,0.753047989,1.68E-15,1.327936618,-2.96E-15,*,7.285,7.11E+06
J1731-33,354.313,-0.104,262.95,-33.8,0.6069003,*,1.647717,*,*,4.341,*
J1731-3322,354.601,0.225,262.8096,-33.3792,0.544670547,2.81E-14,1.835972232,-9.47E-14,*,5.552,3.07E+05
J1731-4744,342.565,-7.669,262.92567,-47.743406,0.829828785,1.64E-13,1.205067862,-2.38E-13,5.60E-24,0.7,8.04E+04
J1732-1930,6.417,7.563,263.08344,-19.5024,0.483769998,1.82E-16,2.067098009,-7.77E-16,5.80E-27,2.634,4.22E+07
J1732-3131,356.307,1.007,263.13975,-31.5231,0.196543155,2.80E-14,5.08794112,-7.26E-13,*,0.64,1.11E+05
J1732-3426,353.818,-0.507,263.0299,-34.4347,0.332886679,4.02E-16,3.004025284,-3.63E-15,*,4.333,1.31E+07
J1732-35,353.318,-0.926,263.13,-35.08,0.126689999,*,7.893282907,*,*,4.042,*
J1732-3729,351.288,-2.211,263.0867,-37.4847,2.184001347,1.30E-15,0.457875175,-2.73E-16,*,10.938,2.66E+07
J1732-4128,347.98,-4.462,263.2083,-41.48,0.627980684,1.28E-14,1.592405666,-3.26E-14,*,7.235,7.75E+05
J1732-4156,347.589,-4.709,263.20358,-41.9416,0.323434056,6.61E-16,3.091820362,-6.32E-15,*,11.528,7.75E+06
J1732-5049,340.029,-9.454,263.1990279,-50.81672087,0.00531255,1.42E-20,188.2335122,-5.03E-16,*,1.873,5.93E+09
J1733-01,22.787,16.899,263.2,0,0,0,0,0,0,*,
J1733-2228,4.029,5.749,263.36016,-22.477,0.871682833,4.27E-17,1.147206257,-5.62E-17,-2.20E-28,1.105,3.23E+08
J1733-2533,1.428,4.092,263.3578,-25.553,0.659794142,2.10E-15,1.515624248,-4.82E-15,*,12.04,4.98E+06
J1733-2837,358.857,2.402,263.3913,-28.626,0.768184557,1.11E-15,1.301770507,-1.88E-15,*,4.74,1.10E+07
J1733-3030,357.32,1.301,263.4954,-30.5136,0.362051963,1.65E-15,2.762034466,-1.26E-14,*,20.614,3.48E+06
J1733-3322,354.917,-0.238,263.48,-33.3675,1.245914634,4.10E-15,0.802623208,-2.64E-15,*,4.237,4.81E+06
J1733-3716,351.577,-2.284,263.36151,-37.282008,0.337595,1.50E-14,2.962129182,-1.32E-13,*,3.15,3.56E+05
J1733-4005,349.266,-3.895,263.49433,-40.0944,0.561778329,3.62E-15,1.780061544,-1.15E-14,*,19.225,2.46E+06
J1733-5515,336.188,-11.801,263.2517,-55.2611,1.011233535,4.00E-16,0.988891255,-3.90E-16,*,4.217,4.01E+07
J1734-0212,21.904,15.928,263.69025,-2.2109,0.839394325,4.21E-16,1.191335193,-5.98E-16,3.20E-27,1.798,3.16E+07
J1734-2415,2.678,4.551,263.6733,-24.26,0.61252374,1.05E-15,1.632589783,-2.80E-15,*,3.436,9.24E+06
J1734-2859,358.596,2.119,263.50048,-28.9982,0.301455878,8.00E-18,3.317235036,-8.80E-17,*,11.352,5.97E+08
J1734-3058,357.031,0.893,263.71183,-30.9782,0.541285681,1.62E-17,1.847453268,-5.53E-17,*,3.744,5.29E+08
J1734-3333,354.819,-0.433,263.6121,-33.556,1.169340685,2.28E-12,0.855182765,-1.67E-12,2.80E-24,4.461,8.13E+03
J1735-0243,21.564,15.448,263.9504,-2.73,0.782886977,6.32E-16,1.277323586,-1.03E-15,*,0.992,1.96E+07
J1735-0724,17.271,13.284,263.7707208,-7.4144806,0.419334966,1.21E-15,2.384728393,-6.91E-15,4.70E-27,6.667,5.47E+06
J1735-3258,355.478,-0.381,263.9872,-32.97273,0.350971731,2.60E-14,2.849232318,-2.11E-13,*,4.974,2.14E+05
J1735+6320,92.721,32.552,263.777342,63.33335,0.510718135,3.23E-16,1.958027199,-1.24E-15,*,25,2.51E+07
J1736+05,29.592,19.208,264.23,5.8,0.999245,*,1.000756,*,*,2.494,*
J1736-2457,2.331,3.775,264.1893,-24.964,2.642223439,3.43E-15,0.378469128,-4.91E-16,*,4.483,1.22E+07
J1736-2819,359.446,2.036,264.103,-28.328,1.59241948,1.49E-14,0.627975237,-5.88E-15,*,6.012,1.69E+06
J1736-2843,359.142,1.764,264.1775,-28.731,6.445036086,3.00E-14,0.155158169,-7.22E-16,*,10.415,3.40E+06
J1736-3422,354.326,-1.176,264.04542,-34.37194,0.347222,6.56E-14,2.88,-5.44E-13,*,*,8.39E+04
J1736-3511,353.614,-1.598,264.0113,-35.199,0.502802783,1.57E-15,1.988851363,-6.20E-15,*,2.626,5.07E+06
J1737-0314A,21.326,14.807,264.3995331,-3.2429931,0.001979976,9.56E-20,505.0565642,-2.44E-14,*,9.14,3.28E+08
J1737-0314B,21.324,14.805,264.4,0,0,0,pqm+21,*,*,,
J1737-0314C,21.324,14.805,264.4,0,0,0,pqm+21,*,*,,
J1737-0314D,21.324,14.805,264.4,0,0,0,pqm+21,*,*,,
J1737-0314E,21.324,14.805,264.4,0,0,0,pqm+21,*,*,,
J1737-0811,16.933,12.318,264.4463015,-8.1858019,0.004175017,7.93E-21,239.5199648,-4.55E-16,*,0.206,8.34E+09
J1737-3102,357.298,0.373,264.39054,-31.0335,0.768672273,3.73E-14,1.300944544,-6.32E-14,*,3.602,3.26E+05
J1737-3137,356.744,0.145,264.26788,-31.6225,0.45043237,1.39E-13,2.220089111,-6.84E-13,7.20E-24,4.162,5.14E+04
J1737-3320,355.308,-0.795,264.2938,-33.3389,0.81627308,2.25E-15,1.225080214,-3.38E-15,*,13.384,5.75E+06
J1737-3555,353.175,-2.268,264.41683,-35.92883,0.397584746,6.12E-15,2.515187036,-3.87E-14,*,2.489,1.03E+06
J1738+0333,27.721,17.742,264.72486,3.553018519,0.005850096,2.41E-20,170.9373699,-7.05E-16,*,1.471,3.84E+09
J1738+04,28.392,18.207,264.6,4.33,1.39179,*,0.718499,*,*,1.083,*
J1738-2330,3.731,4.28,264.5367,-23.51,1.978847432,8.56E-15,0.505344669,-2.19E-15,*,2.832,3.66E+06
J1738-2647,0.94,2.544,264.52096,-26.796,0.349590991,3.15E-15,2.860485613,-2.58E-14,*,4.127,1.76E+06
J1738-2736,0.272,2.081,264.56095,-27.6072,0.627715518,4.62E-15,1.593078346,-1.17E-14,*,11.991,2.15E+06
J1738-2955,358.378,0.724,264.71717,-29.93262,0.443425288,8.20E-14,2.255171336,-4.17E-13,-5.10E-24,3.46,8.57E+04
J1738-3107,357.358,0.1,264.6975,-31.129,0.549497698,3.00E-16,1.819843838,-9.80E-16,*,4.79,2.94E+07
J1738-3211,356.466,-0.491,264.72577,-32.19823,0.768498945,7.95E-16,1.30123796,-1.35E-15,3.70E-28,1.274,1.53E+07
J1738-3316,355.525,-1.003,264.6435,-33.2671,0.730372511,8.90E-17,1.369164344,-1.66E-16,*,3.755,1.31E+08
J1739+0612,30.261,18.858,264.824858,6.2079,0.234169036,1.56E-16,4.270419432,-2.85E-15,*,25,2.37E+07
J1739-1313,12.794,9.297,264.99092,-13.22183,1.215697614,8.17E-17,0.822572973,-5.53E-17,*,0.735,2.36E+08
J1739-2521,2.327,3.027,264.886,-25.366,1.818461193,2.40E-16,0.549915502,-7.30E-17,*,4.411,1.20E+08
J1739-2903,359.206,1.064,264.892883,-29.05061,0.322886477,7.87E-15,3.097063736,-7.55E-14,6.30E-26,2.911,6.50E+05
J1739-3023,358.085,0.336,264.91579,-30.38692,0.114371728,1.14E-14,8.743419493,-8.71E-13,4.50E-24,3.074,1.59E+05
J1739-3049,357.68,0.152,264.8468,-30.8278,0.239317178,2.18E-15,4.178555032,-3.80E-14,*,4.38,1.74E+06
J1739-3131,357.096,-0.22,264.85127,-31.52092,0.529440988,1.86E-14,1.888784627,-6.63E-14,-3.00E-25,4.403,4.51E+05
J1739-3159,356.739,-0.547,264.9528,-31.997,0.877561237,1.97E-16,1.139521617,-2.56E-16,*,3.794,7.05E+07
J1739-3951,350.039,-4.69,264.90938,-39.8668,0.341772477,2.00E-17,2.925923144,-1.70E-16,*,0.784,2.73E+08
J1740+1000,34.011,20.268,265.10813,10.00175,0.154087174,2.15E-14,6.489832814,-9.04E-13,*,1.227,1.14E+05
J1740+1311,37.085,21.679,265.030606,13.199081,0.803050265,1.45E-15,1.245252064,-2.25E-15,1.66E-26,4.176,8.77E+06
J1740-2540,2.212,2.633,265.1888,-25.672,1.69265634,1.85E-15,0.590787377,-6.46E-16,*,15.056,1.45E+07
J1740+27,51.439,26.72,265.13,27.22,1.0582,*,0.945001,*,*,3.507,*
J1740-3015,358.294,0.238,265.14092,-30.26208,0.606886624,4.66E-13,1.647754226,-1.27E-12,*,0.4,2.06E+04
J1740-3052,357.811,-0.132,265.20834,-30.86786,0.570313412,2.55E-14,1.753421854,-7.84E-14,*,4.748,3.54E+05
J1740-3327,355.564,-1.436,265.10717,-33.4649,0.515000656,3.90E-15,1.941745098,-1.47E-14,*,4.191,2.09E+06
J1740-5340A,338.165,-11.967,265.185788,-53.67803,0.003650329,1.68E-19,273.9479176,-1.26E-14,*,2.482,3.44E+08
J1740-5340B,338.166,-11.961,265.17763,-53.67447,0.005786968,-5.90E-21,172.8020469,1.77E-16,*,2.482,*
J1741-0840,16.955,11.304,265.3440121,-8.6754753,2.043082458,2.27E-15,0.489456505,-5.45E-16,4.40E-29,3.571,1.42E+07
J1741+1351,37.885,21.641,265.3797697,13.86225441,0.003747155,3.02E-20,266.869167,-2.15E-15,*,1.667,1.96E+09
J1741-2019,6.815,5.377,265.27863,-20.3233,3.904506361,1.63E-14,0.256114322,-1.07E-15,*,2.553,3.80E+06
J1741-2054,6.425,4.909,265.488492,-20.8992,0.413700121,1.70E-14,2.417209833,-9.92E-14,*,0.3,3.86E+05
J1741-21,6.222,5.046,265.25,-21,2.565,*,0.389864,*,*,5.168,*
J1741-2719,0.907,1.604,265.39608,-27.3231,0.346796929,8.10E-17,2.883531877,-6.70E-16,*,11.562,6.82E+07
J1741-2733,0.636,1.582,265.25558,-27.5642,0.89295867,1.48E-16,1.119872659,-1.85E-16,*,3.055,9.59E+07
J1741+2758,52.347,26.663,265.47296,27.9692,1.360737688,1.84E-15,0.734895498,-9.94E-16,*,2.523,1.17E+07
J1741-2945,358.798,0.38,265.31029,-29.7597,0.223557829,6.34E-16,4.473115554,-1.27E-14,*,3.714,5.58E+06
J1741-3016,358.346,0.13,265.2793,-30.275,1.893748694,8.99E-15,0.52805317,-2.51E-15,*,3.87,3.34E+06
J1741-34,355.002,-2.146,265.48,-34.32,0.875137,*,1.142678,*,*,4.552,*
J1741+3855,64.293,29.693,265.30142,38.919417,0.82886089,2.06E-16,1.206475,-3.00E-16,*,25,6.38E+07
J1741-3927,350.555,-4.749,265.32533,-39.46061,0.512212355,1.71E-15,1.952315265,-6.53E-15,3.00E-24,4.609,4.74E+06
J1742-0203,22.955,14.422,265.5,0,0,0,0,0,0,*,
J1742-3321,355.851,-1.691,265.54833,-33.35583,0.143266,1.27E-15,6.98,-6.18E-14,*,*,1.79E+06
J1742-3957,350.209,-5.135,265.5185,-39.956,1.016349195,8.20E-17,0.983913801,-7.90E-17,*,12.007,1.97E+08
J1742-4616,344.79,-8.462,265.60875,-46.28153,0.412401047,3.38E-17,2.424824104,-1.99E-16,*,5.689,1.93E+08
J1743-0339,21.649,13.4,265.7841,-3.6532,0.444645107,1.56E-15,2.248984605,-7.87E-15,1.50E-25,0.2,4.53E+06
J1743+05,30.045,17.651,265.8,5.48,1.47363,*,0.678596,*,*,3.95,*
J1743-1351,12.699,8.205,265.90676,-13.86055,0.405336949,4.78E-16,2.467083259,-2.91E-15,-7.50E-26,3.495,1.34E+07
J1743-2442,3.333,2.64,265.8338,-24.715,1.242508309,4.72E-16,0.804823592,-3.06E-16,*,6.493,4.17E+07
J1743-3150,357.298,-1.149,265.90296,-31.8396,2.414652315,1.21E-13,0.414138298,-2.07E-14,0.00E+00,3.332,3.17E+05
J1743-3153,357.221,-1.109,265.81485,-31.8848,0.1931054,1.06E-14,5.17851909,-2.83E-13,7.30E-25,8.819,2.90E+05
J1743-35,354.095,-2.994,265.78,-35.53,0.56998,*,1.75445,*,*,4.011,*
J1743-4212,348.381,-6.464,265.77176,-42.20067,0.306166988,7.83E-16,3.266191456,-8.36E-15,*,5.011,6.19E+06
J1744-1134,14.794,9.18,266.1225407,-11.58186576,0.004074546,8.93E-21,245.4261197,-5.38E-16,*,0.395,7.23E+09
J1744-1610,10.773,6.885,266.06889,-16.1766,1.757205869,2.38E-15,0.569085283,-7.70E-16,*,1.923,1.17E+07
J1744-2335,4.463,2.937,266.202,-23.599,1.683506689,8.33E-16,0.593998234,-2.94E-16,*,2.723,3.20E+07
J1744-3130,357.641,-1.059,266.02368,-31.5011,1.066060871,2.12E-14,0.93803274,-1.87E-14,*,3.304,7.96E+05
J1744-3922,350.908,-5.155,266.01115,-39.37253,0.172444361,1.55E-18,5.798971878,-5.20E-17,*,4.541,1.76E+09
J1744-5337,338.499,-12.447,266.16217,-53.6308,0.355665849,1.90E-16,2.811627834,-1.50E-15,*,8.783,2.97E+07
J1744-7619,317.108,-22.459,266.002033,-76.320753,0.004687524,9.68E-21,213.3322368,-4.41E-16,*,*,7.67E+09
J1745-0129,23.838,14.025,266.25858,-1.48836,1.045406856,6.31E-16,0.956565374,-5.77E-16,*,5.371,2.62E+07
J1745-0952,16.371,9.895,266.2880617,-9.877689,0.019376303,9.25E-20,51.60943123,-2.46E-16,*,0.226,3.32E+09
J1745+1017,34.869,19.254,266.390988,10.2979231,0.00265213,2.73E-21,377.0554701,-3.88E-16,*,1.214,1.54E+10
J1745+1252,37.375,20.301,266.43412,12.87731,1.059848758,5.63E-16,0.94353085,-5.01E-16,*,11.167,2.98E+07
J1745-2229,5.47,3.422,266.3196,-22.487,1.160592538,2.86E-15,0.861628838,-2.12E-15,*,15.562,6.44E+06
J1745-23,4.701,2.896,266.38,-23.42,0.0054167,*,184.614253,*,*,7.941,*
J1745-2758,0.847,0.452,266.4677,-27.97722,0.487527998,4.42E-18,2.051164249,-1.86E-17,-4.90E-26,4.123,1.75E+09
J1745-2900,359.944,-0.047,266.417359,-29.008304,3.76373308,1.76E-11,0.265693655,-1.24E-12,-1.05E-19,8.3,3.40E+03
J1745-2910,359.763,-0.054,266.32,-29.17,0.982,*,1.01833,*,*,7.968,*
J1745-2912,359.788,-0.175,266.4492935,-29.20855,0.1873794,*,5.336766,*,*,8.109,*
J1745-3040,358.553,-0.963,266.48465,-30.673,0.367433725,1.07E-14,2.721579246,-7.90E-14,-8.30E-26,0.2,5.46E+05
J1745-3812,352.036,-4.751,266.31425,-38.202,0.698352864,2.43E-15,1.43194086,-4.97E-15,*,5.033,4.56E+06
J1745+42,68.962,29.639,266.45,42.88,0.3051,*,3.277614,*,*,5.642,*
J1746+2245,47.252,24.048,266.5035,22.758,3.465037783,4.92E-15,0.288597142,-4.10E-16,*,6.831,1.12E+07
J1746+2540,50.274,25.031,266.5286,25.67708,1.05814817,1.05E-15,0.945047233,-9.35E-16,*,25,1.60E+07
J1746-2849,0.134,-0.03,266.513989,-28.8370514,1.478480373,1.27E-14,0.676370156,-5.80E-15,*,8.217,1.84E+06
J1746-2850,0.134,-0.044,266.5275,-28.845,1.077101491,1.34E-12,0.928417617,-1.16E-12,*,5.612,1.27E+04
J1746-2856,0.126,-0.233,266.7077283,-28.9497194,0.945224316,1.25E-14,1.057949931,-1.40E-14,*,8.149,1.20E+06
J1746-3239,356.957,-2.175,266.72895,-32.6655,0.19954136,6.56E-15,5.011492358,-1.65E-13,*,*,4.82E+05
J1747-1030,16.174,8.983,266.993,-10.5014,1.578792889,4.30E-16,0.633395303,-1.73E-16,*,2.511,5.82E+07
J1747-2647,2.054,0.758,266.87873,-26.7872,0.500254454,1.32E-14,1.9989827,-5.29E-14,*,6.135,5.99E+05
J1747-2802,0.971,0.121,266.8606,-28.044,2.780079198,2.37E-15,0.359701983,-3.06E-16,*,5.148,1.86E+07
J1747-2809,0.869,0.076,266.845,-28.15417,0.052152855,1.56E-13,19.1744057,-5.72E-11,*,8.141,5.31E+03
J1747-2958,359.305,-0.841,266.81618,-29.96694,0.098813976,6.13E-14,10.12002589,-6.28E-12,9.10E-23,2.52,2.55E+04
J1747-4036,350.208,-6.412,266.952985,-40.61521979,0.00164561,1.31E-20,607.6775385,-4.85E-15,*,7.149,1.98E+09
J1748-1300,14.016,7.656,267.072532,-13.01447,0.394133347,1.21E-15,2.537212364,-7.81E-15,-4.14E-26,2.403,5.15E+06
J1748-2021A,7.728,3.801,267.219538,-20.36103,0.288602792,3.99E-16,3.464969947,-4.79E-15,8.20E-26,8.25,1.15E+07
J1748-2021B,7.729,3.8,267.2206371,-20.36079,0.016760127,-3.29E-19,59.66541822,1.17E-15,*,8.25,*
J1748-2021C,7.721,3.804,267.2132217,-20.364947,0.006226933,-5.98E-20,160.5927099,1.54E-15,*,8.25,*
J1748-2021D,7.734,3.809,267.2151944,-20.352059,0.01349582,5.87E-19,74.09701449,-3.22E-15,*,8.25,3.64E+08
J1748-2021E,7.731,3.802,267.2200017,-20.358161,0.016264003,3.12E-19,61.48547653,-1.18E-15,*,8.25,8.25E+08
J1748-2021F,7.727,3.802,267.2180579,-20.36092,0.003793629,-1.06E-20,263.5998327,7.33E-16,*,8.25,*
J1748-2444,3.955,1.564,267.20213,-24.744,0.442838499,1.11E-16,2.258159582,-5.68E-16,-1.90E-27,3.845,6.30E+07
J1748-2446A,3.836,1.696,267.009396,-24.77692,0.011563148,-3.40E-20,86.48163686,2.54E-16,*,6.62,*
J1748-2446aa,3.839,1.687,267.02,-24.77917,0.00578804,*,172.770057,*,*,6.62,*
J1748-2446ab,3.839,1.687,267.02,-24.77917,0.00511971,*,195.323563,*,*,6.62,*
J1748-2446ac,3.839,1.687,267.02,-24.77917,0.00508691,*,196.582994,*,*,6.62,*
J1748-2446ad,3.839,1.687,267.02,-24.77917,0.001395955,0.00E+00,716.35556,0,*,6.62,*
J1748-2446ae,3.839,1.687,267.02,-24.77917,0.00365859,*,273.329343,*,*,6.62,*
J1748-2446af,3.839,1.687,267.02,-24.77917,0.00330434,*,302.632296,*,*,6.62,*
J1748-2446ag,3.839,1.687,267.02,-24.77917,0.00444803,*,224.818628,*,*,6.62,*
J1748-2446ah,3.839,1.687,267.02,-24.77917,0.00496515,*,201.403784,*,*,6.62,*
J1748-2446ai,3.839,1.687,267.02,-24.77917,0.02122838,*,47.10675,*,*,6.62,*
J1748-2446aj,3.842,1.688,267.0208829,-24.776347,0.00295891,1.41E-19,337.9623415,-1.61E-14,-1.80E-25,6.62,3.32E+08
J1748-2446ak,3.839,1.692,267.0153583,-24.77717,0.001890107,8.85E-20,529.0706647,-2.48E-14,*,6.62,3.38E+08
J1748-2446al,3.841,1.709,267,-24.77,0.00595,*,168.067227,*,*,6.62,*
J1748-2446am,3.839,1.687,267.0200979,-24.77978,0.00293382,-1.37E-19,340.8525546,1.59E-14,*,6.62,*
J1748-2446an,3.842,1.685,267.0235791,-24.778342,0.004802338,1.56E-19,208.2319171,-6.75E-15,-8.83E-25,6.62,4.89E+08
J1748-2446C,3.841,1.689,267.01892,-24.7767,0.008436095,-6.06E-19,118.5382531,8.52E-15,*,6.62,*
J1748-2446D,3.839,1.687,267.02,-24.77917,0.00471398,*,212.134969,*,*,6.62,*
J1748-2446E,3.839,1.687,267.02,-24.77917,0.0021978,*,455.000455,*,*,6.62,*
J1748-2446F,3.839,1.687,267.02,-24.77917,0.00554014,*,180.500854,*,*,6.62,*
J1748-2446G,3.839,1.687,267.02,-24.77917,0.02167187,*,46.142765,*,*,6.62,*
J1748-2446H,3.839,1.687,267.02,-24.77917,0.00492589,*,203.008999,*,*,6.62,*
J1748-2446I,3.839,1.687,267.02,-24.77917,0.00957019,*,104.491133,*,*,6.62,*
J1748-2446J,3.839,1.687,267.02,-24.77917,0.08033793,*,12.447421,*,*,6.62,*
J1748-2446K,3.839,1.687,267.02,-24.77917,0.00296965,*,336.74002,*,*,6.62,*
J1748-2446L,3.839,1.687,267.02,-24.77917,0.0022447,*,445.49383,*,*,6.62,*
J1748-2446M,3.839,1.687,267.02,-24.77917,0.00356957,*,280.145788,*,*,6.62,*
J1748-2446N,3.839,1.687,267.02,-24.77917,0.0086669,*,115.381509,*,*,6.62,*
J1748-2446O,3.839,1.687,267.02,-24.77917,0.00167663,*,596.434514,*,*,6.62,*
J1748-2446P,3.839,1.687,267.02,-24.77917,0.00172862,*,578.496141,*,*,6.62,*
J1748-2446Q,3.839,1.687,267.02,-24.77917,0.002812,*,355.618777,*,*,6.62,*
J1748-2446R,3.839,1.687,267.02,-24.77917,0.00502854,*,198.864879,*,*,6.62,*
J1748-2446S,3.839,1.687,267.02,-24.77917,0.00611664,*,163.488451,*,*,6.62,*
J1748-2446T,3.839,1.687,267.02,-24.77917,0.00708491,*,141.145053,*,*,6.62,*
J1748-2446U,3.839,1.687,267.02,-24.77917,0.00328914,*,304.030841,*,*,6.62,*
J1748-2446V,3.839,1.687,267.02,-24.77917,0.00207251,*,482.506719,*,*,6.62,*
J1748-2446W,3.839,1.687,267.02,-24.77917,0.00420518,*,237.801949,*,*,6.62,*
J1748-2446X,3.839,1.687,267.02,-24.77917,0.00299926,*,333.415576,*,*,6.62,*
J1748-2446Y,3.839,1.687,267.02,-24.77917,0.00204816,*,488.243106,*,*,6.62,*
J1748-2446Z,3.839,1.687,267.02,-24.77917,0.00246259,*,406.076529,*,*,6.62,*
J1748-30,359.117,-1.141,267,-30.28,0.3827347,*,2.612776,*,*,13.822,*
J1748-3009,359.272,-1.147,267.0989925,-30.153133,0.009683961,-3.58E-20,103.2635267,3.82E-16,-2.20E-26,5.053,*
J1749+16,41.208,20.9,267.4,16.4,2.31165,*,0.432591,*,*,7.382,*
